t,torque_signal
0.000000000000000000e+00,-4.690517522359259672e+00
3.338171040440569837e-02,6.041044362818701607e+00
6.676342080881139673e-02,-4.880258572940623374e-01
1.001451312132169980e-01,1.081620225136521007e+00
1.335268416176229878e-01,3.059582197687802374e-01
1.669085520220280061e-01,1.058725549055542725e+00
2.002902624264339959e-01,-4.432700410089531751e-01
2.336719728308400135e-01,6.001201831679660259e+00
2.670536832352459755e-01,-4.294451839040186236e+00
3.004353936396509939e-01,1.382989352846640596e+00
3.338171040440570114e-01,1.722521952217535457e+00
3.671988144484629735e-01,-4.695211921376249542e+00
4.005805248528679918e-01,6.158941666336353649e+00
4.339622352572740094e-01,-6.813814304938379252e-01
4.673439456616800269e-01,1.354392552887971668e+00
5.007256560660859890e-01,-1.153876067883017331e-01
5.341073664704909518e-01,1.976070818761226366e+00
5.674890768748970249e-01,-5.034900401438189732e+00
6.008707872793029869e-01,5.858944197060862003e+00
6.342524976837079498e-01,-5.421308044915701396e-01
6.676342080881140228e-01,3.514816864796271867e-01
7.010159184925199849e-01,1.641632010359234783e+00
7.343976288969249477e-01,-5.985413533108856043e+00
7.677793393013310208e-01,1.088319886044989104e+01
8.011610497057369829e-01,-5.749876827206237273e+00
8.345427601101429449e-01,1.418211932060313263e+00
8.679244705145480188e-01,6.693756132845849471e-01
9.013061809189539808e-01,-1.106577549260054916e+00
9.346878913233590547e-01,7.206463005254747145e+00
9.680696017277650167e-01,-1.052288677353310575e+01
1.001451312132169980e+00,7.181159114817297073e+00
1.034833022536580049e+00,-1.376380652965350393e+00
1.068214732940979905e+00,1.351754732428124495e+00
1.101596443345389975e+00,-2.858589769393887758e-01
1.134978153749790053e+00,1.129473231118407917e+00
1.168359864154199901e+00,-5.443586812936495045e-01
1.201741574558609971e+00,2.273272678959834536e+00
1.235123284963010049e+00,-6.500528364324217989e+00
1.268504995367419896e+00,1.134460121195848714e+01
1.301886705771819974e+00,-6.195416292245153222e+00
1.335268416176230044e+00,1.883569192979348106e+00
1.368650126580629900e+00,1.285674564911779560e-01
1.402031836985039970e+00,-3.571287737923292127e-01
1.435413547389440048e+00,5.762793577854104399e+00
1.468795257793849895e+00,-4.718078394422152044e+00
1.502176968198259965e+00,1.755549004894064957e+00
1.535558678602660043e+00,4.882745395668508515e-02
1.568940389007069891e+00,1.250420641091940510e+00
1.602322099411469969e+00,-6.633859979307616950e-01
1.635703809815880039e+00,6.309182908998115735e+00
1.669085520220290109e+00,-4.776582422853210552e+00
1.702467230624689964e+00,2.237827356044586047e+00
1.735848941029100034e+00,-1.623353201315584915e-01
1.769230651433499890e+00,2.491657503837927390e+00
1.802612361837909960e+00,-5.723989853079730850e+00
1.835994072242310038e+00,1.115045676110656991e+01
1.869375782646720108e+00,-4.465328453404693754e+00
1.902757493051119964e+00,-3.351757375102993208e+00
1.936139203455530033e+00,5.702580092371392517e+00
1.969520913859940103e+00,-6.026584037395465998e-01
2.002902624264339959e+00,1.630971774532823826e+00
2.036284334668749807e+00,-1.178217830743350181e+00
2.069666045073149885e+00,7.476457397690956519e+00
2.103047755477560177e+00,-1.024456095368354802e+01
2.136429465881959811e+00,7.210263878369153723e+00
2.169811176286370102e+00,-8.735147786010566406e-01
2.203192886690779950e+00,1.107068526110590145e+00
2.236574597095180028e+00,6.303978613957437194e-01
2.269956307499589876e+00,1.258168021923855573e-01
2.303338017903989954e+00,2.173167311358901621e+00
2.336719728308399802e+00,-6.104510421397509212e+00
2.370101438712799879e+00,1.147964430496134725e+01
2.403483149117210171e+00,-6.054479490126952967e+00
2.436864859521620019e+00,2.367720075723754647e+00
2.470246569926020097e+00,-3.366942108921152643e-01
2.503628280330429945e+00,1.559799422811074310e+00
2.537009990734830023e+00,-9.869455245153275769e-01
2.570391701139239871e+00,6.784038155181777441e+00
2.603773411543639948e+00,-5.868681807331286748e+00
2.637155121948049796e+00,7.555258247105988367e+00
2.670536832352460088e+00,-4.800649439027624865e+00
2.703918542756860166e+00,2.235956181444352708e+00
2.737300253161270014e+00,8.627401293072762822e-01
2.770681963565670092e+00,2.489260385671151765e-01
2.804063673970079940e+00,6.315596164085647501e+00
2.837445384374480017e+00,-3.914924742219574760e+00
2.870827094778889865e+00,2.036925661784920294e+00
2.904208805183300157e+00,1.293694080932636492e+00
2.937590515587699791e+00,6.744655496830159747e-01
