time (sec),theta (rad)
0,-0.000365943
0.03338171,-0.000365943
0.066763421,-0.000365943
0.100145131,-0.000365943
0.133526842,-0.000544528
0.166908552,-0.000544528
0.200290262,-0.000544528
0.233671973,-0.000544528
0.267053683,-0.000544528
0.300435394,-0.000544528
0.333817104,-0.000544528
0.367198814,-0.000544528
0.400580525,-0.000544528
0.433962235,-0.000544528
0.467343946,-0.000544528
0.500725656,-0.000365943
0.534107366,-0.000365943
0.567489077,-0.000365943
0.600870787,-0.000365943
0.634252498,-0.000365943
0.667634208,-0.000365943
0.701015918,-0.000544528
0.734397629,-0.000544528
0.767779339,-0.000544528
0.80116105,-0.000544528
0.83454276,-0.000723154
0.867924471,-0.000723154
0.901306181,-0.000723154
0.934687891,-0.000723154
0.968069602,-0.000723154
1.001451312,-0.000544528
1.034833023,-0.000544528
1.068214733,-0.000544528
1.101596443,-0.000544528
1.134978154,-0.000544528
1.168359864,-0.000544528
1.201741575,-0.000544528
1.235123285,-0.000544528
1.268504995,-0.000544528
1.301886706,-0.000544528
1.335268416,-0.000544528
1.368650127,-0.000544528
1.402031837,-0.000544528
1.435413547,-0.000544528
1.468795258,-0.000723154
1.502176968,-0.000723154
1.535558679,-0.000544528
1.568940389,-0.000544528
1.602322099,-0.000544528
1.63570381,-0.000544528
1.66908552,-0.000544528
1.702467231,-0.000544528
1.735848941,-0.000544528
1.769230651,-0.000544528
1.802612362,-0.000365943
1.835994072,-0.000544528
1.869375783,-0.000544528
1.902757493,-0.000544528
1.936139203,-0.000544528
1.969520914,-0.000723154
2.002902624,-0.000723154
2.036284335,-0.000723154
2.069666045,-0.000723154
2.103047755,-0.000723154
2.136429466,-0.000723154
2.169811176,-0.000723154
2.203192887,-0.000723154
2.236574597,-0.000723154
2.269956307,-0.000723154
2.303338018,-0.000544528
2.336719728,-0.000544528
2.370101439,-0.000544528
2.403483149,-0.000544528
2.43686486,-0.000544528
2.47024657,-0.000544528
2.50362828,-0.000544528
2.537009991,-0.000723154
2.570391701,-0.000723154
2.603773412,-0.000723154
2.637155122,-0.000723154
2.670536832,-0.000723154
2.703918543,-0.000723154
2.737300253,-0.000723154
2.770681964,-0.000723154
2.804063674,-0.000723154
2.837445384,-0.000723154
2.870827095,-0.000723154
2.904208805,-0.000723154
2.937590516,-0.000544528
2.970972226,-0.000544528
3.004353936,-0.000544528
3.037735647,-0.000544528
3.071117357,-0.000723154
3.104499068,-0.000723154
3.137880778,-0.000723154
3.171262488,-0.000723154
3.204644199,-0.000723154
3.238025909,-0.000723154
3.27140762,-0.000723154
3.30478933,-0.000723154
3.33817104,-0.000723154
3.371552751,-0.000723154
3.404934461,-0.000723154
3.438316172,-0.000544528
3.471697882,-0.000544528
3.505079592,-0.000544528
3.538461303,-0.000544528
3.571843013,-0.000544528
3.605224724,-0.000544528
3.638606434,-0.000544528
3.671988144,-0.000723154
3.705369855,-0.000723154
3.738751565,-0.000723154
3.772133276,-0.000723154
3.805514986,-0.000723154
3.838896697,-0.000723154
3.872278407,-0.000723154
3.905660117,-0.000723154
3.939041828,-0.000723154
3.972423538,-0.000723154
4.005805249,-0.000723154
4.039186959,-0.000723154
4.072568669,-0.000723154
4.10595038,-0.000544528
4.13933209,-0.000544528
4.172713801,-0.000544528
4.206095511,-0.000544528
4.239477221,-0.000544528
4.272858932,-0.000723154
4.306240642,-0.000723154
4.339622353,-0.000901821
4.373004063,-0.000901821
4.406385773,-0.000901821
4.439767484,-0.000901821
4.473149194,-0.000901821
4.506530905,-0.000901821
4.539912615,-0.000901821
4.573294325,-0.000901821
4.606676036,-0.000901821
4.640057746,-0.000901821
4.673439457,-0.000901821
4.706821167,-0.000901821
4.740202877,-0.000901821
4.773584588,-0.000901821
4.806966298,-0.000901821
4.840348009,-0.000901821
4.873729719,-0.000901821
4.907111429,-0.000901821
4.94049314,-0.000901821
4.97387485,-0.000901821
5.007256561,-0.000901821
5.040638271,-0.000901821
5.074019981,-0.000901821
5.107401692,-0.000901821
5.140783402,-0.000901821
5.174165113,-0.000723154
5.207546823,-0.000723154
5.240928533,-0.000723154
5.274310244,-0.000723154
5.307691954,-0.000723154
5.341073665,-0.000723154
5.374455375,-0.000723154
5.407837086,-0.000723154
5.441218796,-0.000723154
5.474600506,-0.000723154
5.507982217,-0.000901821
5.541363927,-0.000901821
5.574745638,-0.000901821
5.608127348,-0.000901821
5.641509058,-0.000901821
5.674890769,-0.000901821
5.708272479,-0.000901821
5.74165419,-0.000901821
5.7750359,-0.000901821
5.80841761,-0.000723154
5.841799321,-0.000723154
5.875181031,-0.000723154
5.908562742,-0.000723154
5.941944452,-0.000723154
5.975326162,-0.000723154
6.008707873,-0.000723154
6.042089583,-0.000723154
6.075471294,-0.000723154
6.108853004,-0.000901821
6.142234714,-0.000901821
6.175616425,-0.000901821
6.208998135,-0.000901821
6.242379846,-0.000901821
6.275761556,-0.000901821
6.309143266,-0.000901821
6.342524977,-0.000723154
6.375906687,-0.000723154
6.409288398,-0.000723154
6.442670108,-0.000723154
6.476051818,-0.000723154
6.509433529,-0.000723154
6.542815239,-0.000723154
6.57619695,-0.000723154
6.60957866,-0.000723154
6.64296037,-0.000723154
6.676342081,-0.000901821
6.709723791,-0.000901821
6.743105502,-0.000901821
6.776487212,-0.000901821
6.809868922,-0.000901821
6.843250633,-0.000901821
6.876632343,-0.000901821
6.910014054,-0.000901821
6.943395764,-0.000723154
6.976777475,-0.000723154
7.010159185,-0.000723154
7.043540895,-0.000723154
7.076922606,-0.000723154
7.110304316,-0.000723154
7.143686027,-0.000723154
7.177067737,-0.000723154
7.210449447,-0.000723154
7.243831158,-0.000723154
7.277212868,-0.000723154
7.310594579,-0.000901821
7.343976289,-0.000901821
7.377357999,-0.000901821
7.41073971,-0.000901821
7.44412142,-0.000901821
7.477503131,-0.000901821
7.510884841,-0.000901821
7.544266551,-0.000901821
7.577648262,-0.000723154
7.611029972,-0.000723154
7.644411683,-0.000723154
7.677793393,-0.000723154
7.711175103,-0.000723154
7.744556814,-0.000723154
7.777938524,-0.000723154
7.811320235,-0.000723154
7.844701945,-0.000723154
7.878083655,-0.000723154
7.911465366,-0.000723154
7.944847076,-0.000901821
7.978228787,-0.000901821
8.011610497,-0.000901821
8.044992207,-0.000901821
8.078373918,-0.000901821
8.111755628,-0.000723154
8.145137339,-0.000723154
