t,torque_signal
0.000000000000000000e+00,-4.201577649176668761e-03
3.338171000000000194e-02,-4.739564150583851915e-02
6.676342100000000335e-02,4.111628430542846324e-02
1.001451309999999983e-01,-2.901062103612596643e-01
1.335268420000000067e-01,2.341163177430323761e-01
1.669085519999999878e-01,-8.933436953511832146e-02
2.002902619999999967e-01,-3.873735211724970567e-03
2.336719730000000050e-01,-4.618333316459082016e-02
2.670536829999999862e-01,-1.800216549867510868e-02
3.004353940000000223e-01,-4.103795904633532332e-02
3.338171039999999756e-01,-1.846695762944110253e-02
3.671988139999999845e-01,-4.526047420180813463e-02
4.005805250000000206e-01,-5.203043846516840210e-03
4.339622349999999740e-01,-8.788140039115471813e-02
4.673439460000000101e-01,2.344309900687424619e-01
5.007256559999999634e-01,-2.769006372952519390e-01
5.341073659999999723e-01,2.786520036766992198e-02
5.674890769999999529e-01,-2.932183004991520403e-02
6.008707869999999618e-01,-3.414048814787708913e-02
6.342524980000000534e-01,3.427990657264887164e-02
6.676342079999999513e-01,-2.885563785173403950e-01
7.010159179999999601e-01,2.392367116562932328e-01
7.343976290000000517e-01,-1.069301244117021876e-01
7.677793389999999496e-01,4.921900303953208322e-02
8.011610500000000412e-01,-3.092744884533256133e-01
8.345427600000000501e-01,2.316800229873511863e-01
8.679244710000000307e-01,-1.091803311642972618e-01
9.013061810000000396e-01,5.811845386197826702e-03
9.346878910000000484e-01,-1.086712318028936058e-01
9.680696020000000290e-01,2.320419759486158084e-01
1.001451311999999927e+00,-2.937608176555104311e-01
1.034833023000000018e+00,2.663798888527697112e-02
1.068214733000000027e+00,-5.263502762338646834e-02
1.101596443000000036e+00,-1.896994885501865000e-02
1.134978153999999906e+00,-3.612948905043992381e-02
1.168359863999999915e+00,-2.697997538239392881e-02
1.201741575000000006e+00,-3.143062050602110635e-02
1.235123285000000015e+00,-3.026374260331723270e-02
1.268504995000000024e+00,-2.856673897533916484e-02
1.301886705999999894e+00,-3.361689959514907455e-02
1.335268415999999903e+00,-2.312973671142289078e-02
1.368650126999999994e+00,-4.563397010285773214e-02
1.402031837000000003e+00,1.452230524206097467e-02
1.435413547000000012e+00,-2.718617324410150804e-01
1.468795258000000103e+00,1.613131553057206014e-01
1.502176967999999890e+00,1.731428534648079831e-01
1.535558678999999982e+00,-2.718930732286608531e-01
1.568940388999999991e+00,1.866099885820290266e-02
1.602322099000000000e+00,-5.288863892504450104e-02
1.635703810000000091e+00,-1.134512017250114899e-02
1.669085520000000100e+00,-5.343380663839075728e-02
1.702467230999999970e+00,8.102439235583808880e-03
1.735848940999999979e+00,-1.135965585241330983e-01
1.769230650999999988e+00,2.967934574836127992e-01
1.802612362000000079e+00,-5.519431422493484840e-01
1.835994072000000088e+00,2.950958504934848570e-01
1.869375782999999958e+00,-1.276197684073400729e-01
1.902757492999999966e+00,5.731331250520924070e-02
1.936139202999999975e+00,-3.103813819707110233e-01
1.969520914000000067e+00,2.270151150024302678e-01
2.002902623999999854e+00,-9.738791546341513117e-02
2.036284334999999945e+00,-1.893394130795878275e-02
2.069666044999999954e+00,-4.787496200669658780e-02
2.103047754999999963e+00,-3.945841245757880644e-02
2.136429466000000055e+00,-3.468462899697458829e-02
2.169811176000000064e+00,-5.240115742433849866e-02
2.203192887000000155e+00,-1.492846608113098522e-02
2.236574597000000164e+00,-1.006345973529955973e-01
2.269956307000000173e+00,2.303833887577989015e-01
2.303338017999999821e+00,-2.962508261822534017e-01
2.336719727999999829e+00,3.261393115350994659e-02
2.370101438999999921e+00,-6.249687529722224022e-02
2.403483148999999930e+00,-3.288314202776709133e-03
2.436864860000000022e+00,-6.360098668409661093e-02
