N,gamma,omega,run,dt,tau_mag,t_target,fit_sw,proc_sw,err_omega,err_gamma,err_integral
1024,0.548,6.240,1,0.05859375,50,28.52,0,0,0.09890328842596606,9.525285821633624,0.24716142688833054
1024,0.548,6.240,1,0.05859375,50,28.52,0,1,0.09890328842596606,9.525285821633624,0.23784220030600772
1024,0.548,6.240,1,0.05859375,50,28.52,1,0,0.04756464238233672,3.241303332984455,0.0459936729927026
1024,0.548,6.240,1,0.05859375,50,28.52,1,1,0.04756464238233672,3.241303332984455,0.04478894294970955
2048,0.548,6.240,1,0.029296875,50,28.52,0,0,0.3670904892863409,9.255908262445386,0.7355320824222108
2048,0.548,6.240,1,0.029296875,50,28.52,0,1,0.3670904892863409,9.255908262445386,0.7261585687105215
2048,0.548,6.240,1,0.029296875,50,28.52,1,0,0.0030259823179362,2.8567825554845108,0.006055580103130373
2048,0.548,6.240,1,0.029296875,50,28.52,1,1,0.0030259823179362,2.8567825554845108,0.007625936508895418
256,0.548,6.240,1,0.234375,50,28.52,0,0,7.721331902421749,17.317400684638393,14.731524501824603
256,0.548,6.240,1,0.234375,50,28.52,0,1,7.721331902421749,17.317400684638393,14.74772762794469
256,0.548,6.240,1,0.234375,50,28.52,1,0,0.1872122697571959,5.13085642139269,0.23959016651119064
256,0.548,6.240,1,0.234375,50,28.52,1,1,0.1872122697571959,5.13085642139269,0.23758611627645496
512,0.548,6.240,1,0.1171875,50,28.52,0,0,0.0059934565603369785,8.579801250133864,0.11110866675067894
512,0.548,6.240,1,0.1171875,50,28.52,0,1,0.0059934565603369785,8.579801250133864,0.1071083342874473
512,0.548,6.240,1,0.1171875,50,28.52,1,0,0.1957997791476517,3.838264211133148,0.4899623428622521
512,0.548,6.240,1,0.1171875,50,28.52,1,1,0.1957997791476517,3.838264211133148,0.4887232937054748
