t,torque_signal
0.000000000000000000e+00,-4.690647606254442437e+00
3.338171040440569837e-02,6.040946240439096115e+00
6.676342080881139673e-02,-4.881201234041337433e-01
1.001451312132169980e-01,1.081524282281348004e+00
1.335268416176229878e-01,3.058631141365317774e-01
1.669085520220280061e-01,1.058630217704333409e+00
2.002902624264339959e-01,-4.433659402991356746e-01
2.336719728308400135e-01,6.001108577798246912e+00
2.670536832352459755e-01,-4.294575098718130590e+00
3.004353936396509939e-01,1.382859925026538983e+00
3.338171040440570114e-01,1.722397273414462582e+00
3.671988144484629735e-01,-4.695342747319710242e+00
4.005805248528679918e-01,6.158844159308022981e+00
4.339622352572740094e-01,-6.814762424375221395e-01
4.673439456616800269e-01,1.354297132840915463e+00
5.007256560660859890e-01,-1.154832773421139436e-01
5.341073664704909518e-01,1.975976263196796312e+00
5.674890768748970249e-01,-5.034998178672205782e+00
6.008707872793029869e-01,5.858877034488881641e+00
6.342524976837079498e-01,-5.421924812016003514e-01
6.676342080881140228e-01,3.514161811912149824e-01
7.010159184925199849e-01,1.641570550934170480e+00
7.343976288969249477e-01,-5.985481327528782813e+00
7.677793393013310208e-01,1.088316658597649322e+01
8.011610497057369829e-01,-5.749935841917332091e+00
8.345427601101429449e-01,1.418145407821377990e+00
8.679244705145480188e-01,6.693144630663818706e-01
9.013061809189539808e-01,-1.106644161349405797e+00
9.346878913233590547e-01,7.206404173603650598e+00
9.680696017277650167e-01,-1.052298271062161028e+01
1.001451312132169980e+00,7.181091758782226719e+00
1.034833022536580049e+00,-1.376442751040056311e+00
1.068214732940979905e+00,1.351690182391495743e+00
1.101596443345389975e+00,-2.859222178252053270e-01
1.134978153749790053e+00,1.129409453291127408e+00
1.168359864154199901e+00,-5.444226955071315155e-01
1.201741574558609971e+00,2.273210047725108929e+00
1.235123284963010049e+00,-6.500595192432574443e+00
1.268504995367419896e+00,1.134456812380680901e+01
1.301886705771819974e+00,-6.195474623117028123e+00
1.335268416176230044e+00,1.883502113946739609e+00
1.368650126580629900e+00,1.285067061965686763e-01
1.402031836985039970e+00,-3.571955524123676673e-01
1.435413547389440048e+00,5.762734440358082466e+00
1.468795257793849895e+00,-4.718172428769802806e+00
1.502176968198259965e+00,1.755453917877073611e+00
1.535558678602660043e+00,4.873125286756874175e-02
1.568940389007069891e+00,1.250326521731424556e+00
1.602322099411469969e+00,-6.634832171546388713e-01
1.635703809815880039e+00,6.309091117374620694e+00
1.669085520220290109e+00,-4.776707363179153454e+00
1.702467230624689964e+00,2.237699983070962517e+00
1.735848941029100034e+00,-1.624628099457252617e-01
1.769230651433499890e+00,2.491531716046255340e+00
1.802612361837909960e+00,-5.724120238837265617e+00
1.835994072242310038e+00,1.115036036476422510e+01
1.869375782646720108e+00,-4.465449819675668230e+00
1.902757493051119964e+00,-3.351889660770309476e+00
1.936139203455530033e+00,5.702483524746801535e+00
1.969520913859940103e+00,-6.027539874810317055e-01
2.002902624264339959e+00,1.630877170843246571e+00
2.036284334668749807e+00,-1.178314674281776941e+00
2.069666045073149885e+00,7.476365548170362807e+00
